number,rmse_log,params_batch_size,params_gamma,params_lambda_sparse,params_lr,params_mask_type,params_n_a,params_n_d,params_n_independent,params_n_shared,params_n_steps,params_virtual_batch_size,state,user_attrs_mae_usd,user_attrs_mape,user_attrs_rmse_usd
78,0.2432148230074369,512,1.3005549710997315,1e-05,0.008835938239606822,sparsemax,48,32,2,3,5,128,COMPLETE,30419.2950556507,17.994509936001812,49125.31264758926
18,0.24628588739434107,512,1.3681129982139355,1e-05,0.015614651725729171,entmax,16,48,2,2,7,256,COMPLETE,30206.502488227758,18.065248344667285,46887.763623678715
31,0.2484058297737061,512,1.5799710145325558,0.001,0.010882615768216511,entmax,16,24,1,1,4,64,COMPLETE,31168.13698630139,18.23045534744724,49986.799150643936
9,0.2484885107347244,1024,1.2507987376547287,0.001,0.014779610929505277,sparsemax,32,32,3,1,4,256,COMPLETE,33270.63983572346,19.9531195468249,50814.60873573223
40,0.24867532530926031,512,1.6729984955234478,0.001,0.0037886499129142375,entmax,16,48,3,1,3,256,COMPLETE,31515.63007009848,18.274890027591706,48701.781249348554
96,0.264605797666756,512,1.3008823699326624,1e-05,0.015906441551946357,sparsemax,64,32,3,2,3,128,COMPLETE,34490.45689747432,19.898852935817384,57281.65657716237
33,0.2703666694008905,512,1.3238455366433475,0.001,0.006666480451919429,entmax,24,24,1,1,6,64,COMPLETE,35533.417005565076,20.33056106262484,55057.742172748476
67,0.27401839986275245,512,1.228560368085119,1e-06,0.006319704717037155,sparsemax,32,16,2,3,4,128,COMPLETE,34814.77486889983,20.46511518085027,56885.051420588046
15,0.2752405076920005,512,1.5374414775435974,0.001,0.009167478564144401,entmax,24,24,1,3,5,64,COMPLETE,35558.16657748288,20.45327617959091,55828.00159053242
60,0.27695901707864506,512,1.2444475776666182,1e-06,0.008903278462673959,entmax,24,16,2,3,8,128,COMPLETE,36696.28689533392,22.817308099430853,54182.43274390587
58,0.2887741490329741,2048,1.2754303576780446,1e-06,0.007699524050621714,entmax,32,16,2,2,5,128,COMPLETE,39355.02345087758,23.069329706938895,61585.02738568526
48,0.30538884544331246,512,1.5301466119135056,0.001,0.0048030312194705035,sparsemax,32,24,2,1,3,256,COMPLETE,38637.474448844194,22.37126074197707,64363.20257183472
34,0.306456763237745,512,1.7382379057813686,1e-06,0.008260159428704643,sparsemax,64,64,2,1,5,256,COMPLETE,39584.299483625866,24.76417440693805,54426.618789542525
7,0.31371863284564283,2048,1.2420937876558167,0.0001,0.016667337862838905,sparsemax,32,16,2,2,6,64,COMPLETE,42127.64332726885,24.66771222479246,66407.98646627158
29,0.31477499783477986,2048,1.8227399290709085,0.001,0.017554599155329108,sparsemax,16,24,3,1,3,256,COMPLETE,43584.535397046246,26.281619386167343,64769.45778245503
38,0.32484742476647904,512,1.6017094115336055,0.0001,0.01835498468897479,entmax,64,16,2,2,7,256,COMPLETE,42045.60323469608,21.662305260794014,72927.81518695725
14,0.3293610079743965,512,1.74287152096344,1e-06,0.006658437939886498,entmax,64,16,2,3,5,128,COMPLETE,43156.01134417809,26.088130356839528,70205.94723021329
3,0.3434301472874439,1024,1.2643240739002053,1e-06,0.005860004488349778,sparsemax,32,64,3,2,8,256,COMPLETE,45299.414236408404,27.419351674608766,73100.92213867133
36,0.353405909931194,1024,1.4691415926130245,0.001,0.013711930586212912,sparsemax,48,24,1,1,4,128,COMPLETE,46195.51284246577,28.655001977544327,70639.44323846229
6,0.3595261163721693,1024,1.4303923663383267,1e-05,0.003236753091285768,entmax,32,48,1,1,8,256,COMPLETE,50400.7274186644,29.50150891435983,74216.77963879348
0,0.36006904162503417,1024,1.8331382199854795,1e-05,0.007361326735857279,sparsemax,48,32,1,1,6,64,COMPLETE,50199.375428082196,28.762446737485742,75328.44106002689
2,0.4046391142311182,2048,1.3112410266823424,0.0001,0.01973616708594892,sparsemax,48,24,1,2,6,64,COMPLETE,58245.57942262417,34.86499320201965,80258.54392999402
39,0.43714476937326047,1024,1.9160873896675479,0.0,0.01563305754369397,sparsemax,24,32,2,2,6,64,COMPLETE,58628.2459332192,30.702090058079882,91150.41176755306
8,0.5083035406042495,2048,1.9561912983091563,0.0001,0.009850339387943883,entmax,32,64,3,1,7,256,COMPLETE,85414.61766909248,47.29281082270625,267374.9907732467
4,0.5428787321811493,1024,1.7015569349096946,0.0001,0.003064551905309839,sparsemax,32,64,2,2,5,64,COMPLETE,73701.55425941784,42.05115159442303,106425.77670729364
